gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
womens,2018-03-12,0,1.0,0.99245807006,0.907773370356,0.609183016575,0.252844591495,0.084884971363,0.014403535094,1,251,Texas,98.03,Kansas City,2
womens,2018-03-12,0,1.0,0.99656884185,0.913602384021,0.676775332076,0.35667786493,0.037672943524,0.011997983075,1,2483,Oregon,97.76,Spokane,2
womens,2018-03-12,0,1.0,0.995950866622,0.928875174566,0.63422988145,0.047508078958,0.022367675516,0.008299922306,1,2579,South Carolina,96.62,Albany,2
womens,2018-03-12,0,1.0,0.967657771424,0.872523005877,0.276794825475,0.09498153069,0.013521789604,0.005384155182,1,194,Ohio State,93.97,Spokane,3
womens,2018-03-12,0,1.0,0.991234768975,0.905657249448,0.342336217039,0.101997715522,0.023779622831,0.002704756933,1,26,UCLA,94.98,Kansas City,3
womens,2018-03-12,0,1.0,0.980863217553,0.771921963156,0.129687762633,0.04324480789,0.013867175999,0.001603027396,1,2633,Tennessee,91.81,Lexington,3
womens,2018-03-12,0,1.0,0.972059174615,0.744713220866,0.280513379289,0.01276554433,0.004418903637,0.001168672025,1,52,Florida State,92.73,Albany,3
womens,2018-03-12,0,1.0,0.822280043274,0.457364843478,0.075935717826,0.025198788211,0.005539989826,0.000596366915,1,120,Maryland,90.6,Kansas City,5
womens,2018-03-12,0,1.0,0.89325511725,0.743921692518,0.124085818098,0.018437384708,0.004279535508,0.000338646266,1,24,Stanford,91.3,Lexington,4
womens,2018-03-12,0,1.0,0.600968851324,0.269346097858,0.054461575898,0.016158255209,0.001222567585,0.00030502801,1,305,DePaul,89.76,Spokane,5
womens,2018-03-12,0,1.0,0.791405883798,0.447566227739,0.010714102098,0.00411156836,0.001176848377,0.000255085025,1,150,Duke,89.06,Albany,5
womens,2018-03-12,0,1.0,0.807595039889,0.445408736633,0.051480083545,0.012844336728,0.002033154755,0.000155188805,1,152,North Carolina State,87.57,Kansas City,4
womens,2018-03-12,0,1.0,0.875717116189,0.555076480238,0.085660249987,0.020126811026,0.000926766735,0.000153952569,1,245,Texas A&M,88.22,Spokane,4
